date,action,symbol,price,shares,amount,note
2026-01-05,入金,,,,10000,初始入金
2026-01-05,买入,510500,7.58,1300,,信号切换
2026-01-29,卖出,510500,8.661,1300,,信号切换
2026-01-29,买入,518880,11.918,900,,信号切换
2026-03-06,卖出,518880,10.834,900,,信号切换
2026-03-11,买入,518880,11.026,900,,信号切换
2026-03-18,卖出,518880,10.638,900,,信号切换
2026-03-19,买入,159915,3.297,3000,,信号切换
2026-03-24,卖出,159915,3.275,3000,,信号切换
2026-04-02,买入,159915,3.224,3000,,信号切换
2026-04-03,卖出,159915,3.182,3000,,信号切换
2026-04-09,买入,513100,1.833,5300,,信号切换
2026-04-13,卖出,513100,1.8,5300,,信号切换
2026-04-13,买入,159915,3.43,2800,,信号切换
2026-04-28,卖出,159915,3.63,2800,,信号切换
2026-04-28,买入,513100,1.945,5200,,信号切换
2026-05-06,卖出,513100,2.02,5200,,信号切换
2026-05-06,买入,159915,3.763,2800,,信号切换
2026-05-15,卖出,159915,3.961,2800,,信号切换
2026-05-15,买入,513100,2.107,5200,,信号切换
